extracted_symptom,linked_symptom
Acute hypoxic respiratory failure,Acute respiratory failure
exacerbation  joint pain,Pain
heart disease),Hypertensive heart disease
Massive inflammation,Inflammation
inflammation,Inflammation
Joint pain,Pain
New onset left bundle branch block,Bundle branch block left
No adverse event,No adverse event
a pain,Pain
a Pulmonary Embolism,Pulmonary embolism
a dull pain ache,Pain
chest pain,Chest pain
No adverse event,No adverse event
type 2 diabetes mellitus,Type 2 diabetes mellitus
50% stenosis OP monitoring   Thrombocytopenia,Thrombocytopenia
Acute metabolic encephalopathy,Metabolic encephalopathy
hypercapnia,Hypercapnia
Hyperkalemia,Hyperkalaemia
COVID,Asymptomatic COVID-19
weakness,Injection site muscle weakness
asymptomatic,Asymptomatic COVID-19
any chest pain,Chest pain
hypoxia,Hypoxia
some residual atelectasis,Atelectasis
Symptoms,Lower urinary tract symptoms
infection,Infection
Septic shock,Septic shock
atherosclerotic plaque,Tic
AF,Affect lability
PE,Alopecia
Virus Infection,Herpes virus infection
OSA,Adiposis dolorosa
symptoms,Lower urinary tract symptoms
Elevated troponin,Troponin
hypertension,Hypertension
Atherosclerotic plaque,Tic
septic shock,Septic shock
Acute on chronic respiratory failure,Acute respiratory failure
adverse reaction,Adverse reaction
DIZZINESS,Dizziness
lightheaded,Pupillary light reflex tests abnormal
vertigo,Vertigo
VERTIGO,Vertigo
dizziness,Dizziness
headache,Headache
allergic,Allergic reaction to excipient
a constant headache,Headache
fever,Pyrexia
a headache,Headache
headaches,Headache
HEADACHE,Headache
adverse event,Adverse event
PAIN IN EXTREMITY,Pain in extremity
pain in extremity,Pain in extremity
her headache,Headache
Headache,Headache
headache,Headache
HEADACHE,Headache
migraine,Migraine
"migraine""",Migraine
MIGRAINE,Migraine
miscarriage,Scar
a sudden miscarriage,Scar
uterine or blood disorders,Blood disorder
a scratchy throat,Scratch
pain,Pain
diarrhea,Diarrhoea
pain in my throat area,Pain
chills,Chills
a lingering cough,Cough
extreme pain in my right ear,Pain
the pain,Pain
an adverse drug reaction,Adverse drug reaction
terrible rashes on my hands,Rash
severe atopic dermatitis,Dermatitis atopic
the dermatitis,Dermatitis
itchy and painful left breast,Pain
painful,Pain
PAIN IN EXTREMITY (arm soreness,Pain
FATIGUE,Fatigue
extensive swelling on the right side,Swelling
swelling,Swelling
fever,Pyrexia
coughing,Cough
PE,Alopecia
weaker,Fall
hypoxia,Hypoxia
chills,Chills
COVID,Asymptomatic COVID-19
constipation,Constipation
parkinsons,Parkinson's disease
cough,Cough
hemoptysis,Haemoptysis
vomiting,Vomiting
end-stage renal disease,End stage renal disease
weakness,Injection site muscle weakness
chest pain,Chest pain
fever,Pyrexia
neck pain,Neck pain
agitation,Agitation
LOC,Atrioventricular block
chills,Chills
diabetes,Diabetes mellitus
headaches,Headache
myalgias,Myalgia
CAD,Wheelchair user
symptoms,Lower urinary tract symptoms
rash,Rash
headache,Headache
abdominal pain,Abdominal pain
paresthesias,Paraesthesia
fatigue,Fatigue
hypertension,Hypertension
nausea,Nausea
diarrhea,Diarrhoea
leg swelling,Swelling
syncope,Syncope
head injury,Head injury
cough,Cough
Death,Death
unresponsive,Unresponsive to stimuli
Chest pain,Chest pain
chest pain,Chest pain
bilateral hip and back pain,Back pain
COVID-19 infection,COVID-19
recurrent falls,Fall
dementia,Dementia
multiple falls,Fall
preeclampsia,Pre-eclampsia
No adverse event,No adverse event
confused,Clostridium difficile colitis
hypertension,Hypertension
acute distress,Stress
atraumatic,Tic
cyanotic,Tic
confusion,Confusional state
stroke,Cerebellar stroke
his death,Death
allergies,Allergy test
an ADR,Scan adrenal gland abnormal
death,Death
palpitations,Palpitations
tachycardia,Tachycardia
a headache,Headache
the pain,Pain
itching,Muscle twitching
Urticaria,Urticaria
itch,Muscle twitching
heartbeat,Pulse abnormal
Collapse,Circulatory collapse
sudden cardiac arrest,Cardiac arrest
No adverse event,No adverse event
desmoid tumors,Desmoid tumour
abd pain,Pain
pouch,Coxsackie virus test
Some nausea,Nausea
the headache,Headache
illness,Illness
a headache,Headache
vomiting,Vomiting
severe hypertension,Hypertension
confused,Clostridium difficile colitis
coughing,Cough
congestion,Ear congestion
symptoms,Lower urinary tract symptoms
confusion,Confusional state
sneezing,Sneezing
night sweats,Night sweats
headache,Headache
fatigue,Fatigue
coughing,Cough
the coughing,Cough
wheezing,Wheezing
symptoms,Lower urinary tract symptoms
a cough,Cough
dizziness,Dizziness
dry cough,Cough
fever,Pyrexia
nausea,Nausea
chills,Chills
Death,Death
No adverse event,No adverse event
bilateral hip and back pain,Back pain
COVID-19 infection,COVID-19
recurrent falls,Fall
dementia,Dementia
multiple falls,Fall
arthritis,Arthritis
the pain,Pain
pain,Pain
discomfort in my wrists and knuckles,Discomfort
Reactive Arthritis,Arthritis reactive
That discomfort,Discomfort
No adverse event,No adverse event
allergies,Allergy test
a residual cough,Cough
congestion,Ear congestion
fatigued,Fatigue
a slight scratchy throat,Scratch
terrible headache,Headache
Plaque psoriasis,Psoriasis
IMMUNISATION REACTION,Immunisation reaction
LIP SWELLING,Lip swelling
reaction,Adverse drug reaction
SKIN DISCOLOURATION,Skin discolouration
a horrible headache,Headache
pain,Pain
The headache,Headache
stiff,Joint stiffness
sore,Abdominal tenderness
Neuropathy,Acute motor axonal neuropathy
No adverse event,No adverse event
weight loss,Weight
lethargy,Lethargy
hepatitis,Hepatitis
Nausea,Nausea
back pain,Back pain
Symptoms,Lower urinary tract symptoms
vomiting,Vomiting
severe stomach pain,Pain
dizziness,Dizziness
the adverse event,Adverse event
any adverse event,Adverse event
acute illnesses,Illness
adverse events,Adverse event
fatigue,Fatigue
Myasthenia Gravis Crisis,Myasthenia gravis crisis
Symptoms,Lower urinary tract symptoms
reflux,Gastrooesophageal reflux disease
dizziness,Dizziness
Myasthenia Gravis,Myasthenia gravis
No adverse event,No adverse event
apnea,Apnoea
gasping,Clinical trial participant
cough,Cough
severe respiratory failure,Respiratory failure
sepsis,Sepsis
pneumonia,Pneumonia
septic shock,Septic shock
Death,Death
hypoxic respiratory failure,Respiratory failure
Tinnitus,Tinnitus
dizziness,Dizziness
tunnel vision,Tunnel vision
dry cough,Cough
"dry cough""",Cough
fever,Pyrexia
Symptoms,Lower urinary tract symptoms
"Hypertension""",Hypertension
very fatigued,Fatigue
a cough,Cough
headache,Headache
fever,Pyrexia
"congestive, cough",Cough
chill,Chills
severe encephalopathy,Encephalopathy
autoimmune encephalitis,Encephalitis
acute encephalopathy,Encephalopathy
urinary tract infection,Urinary tract infection
tremor,Tremor
aseptic meningitis,Meningitis
UTI,Therapeutic procedure
Symptoms,Lower urinary tract symptoms
symptoms,Lower urinary tract symptoms
confusion,Confusional state
No adverse event,No adverse event
headache,Headache
coughing,Cough
congestion,Ear congestion
nausea,Nausea
diarrhea,Diarrhoea
cold sweats,Cold sweat
cough,Cough
adverse event,Adverse event
No adverse event,No adverse event
No adverse event,No adverse event
the vertigo,Vertigo
vertigo,Vertigo
a positive covid infection,Infection
vaccination failure,Vaccination failure
No adverse event,No adverse event
irritable,Irritable bowel syndrome
ankle swelling,Swelling
Purpura rash,Purpura
Large hiatal hernia,Hernia
No adverse event,No adverse event
dependent atelectasis in the lungs posteriorly bilaterally,Atelectasis
embolism,Pulmonary embolism
a random panic attack,Panic attack
sudden headache,Headache
sharp chest pain in left side of body,Chest pain
dizziness,Dizziness
syncope event,Syncope
acute pulmonary illness,Illness
dyspnea,Dyspnoea
lactic acidosis,Lactic acidosis
sepsis,Sepsis
worsening cough,Cough
thrombocytosis,Thrombocytosis
CAD,Wheelchair user
Covid infection,Infection
elevate troponin,Troponin
weakness,Injection site muscle weakness
Death,Death
PE,Alopecia
a L pneumothorax,Pneumothorax
L knee pain,Pain
nausea,Nausea
pain,Pain
burning,Burning mouth syndrome
chills,Chills
nervousness,Nervousness
dryness,Nasal dryness
dizziness,Dizziness
discharge in the vaginal area,Discharge
itching,Muscle twitching
SWEATING,Hyperhidrosis
UNRESPONSIVE,Unresponsive to stimuli
THE MINOR HEADACHE,Headache
PHYSICAL REACTION AT INJECTION SITE,Injection
NAUSEOUS,Nausea
ANXIOUS,Autonomic nervous system imbalance
PAIN,Pain
allergic,Allergic reaction to excipient
asthma,Asthma
facial or tongue swelling,Swelling
palpitations,Palpitations
chest pain,Chest pain
"""mild hypothyroidism""",Hypothyroidism
hypovolemia,Hypovolaemia
Pancreatic Adenocarcinoma,Adenocarcinoma
lethargy,Lethargy
congestion,Ear congestion
pancreatic cancer,Tic
seizure disorder,Seizure
normocytic,Normochromic normocytic anaemia
dry cough,Cough
Seizure Disorder,Seizure
dyspnea,Dyspnoea
elevated,Atelectasis
HTN,Muscle tightness
hypoxia,Hypoxia
mild bibasilar atelectasis,Atelectasis
Diarrhea,Diarrhoea
chills,Chills
demand,Fluid intake reduced
PE,Alopecia
respiratory failure,Respiratory failure
Elevated Troponin,Troponin
OSA,Adiposis dolorosa
COVID-19,COVID-19
AKI,Pollakiuria
Obesity,Obesity
decreased renal clearance,Creatinine renal clearance decreased
Body mass index,Body mass index
stable b/l pulmonary nodules,Nodule
fevers,Pyrexia
Hypothyroidism,Hypothyroidism
Acute Hypoxic Respiratory Failure,Acute respiratory failure
adverse reaction,Adverse reaction
No adverse event,No adverse event
Acute Myocarditis,Myocarditis
CVA,Cerebrovascular accident
Neurological symptoms,Neurological symptom
No adverse event,No adverse event
No adverse event,No adverse event
gait inability,Gait inability
peripheral neuropathy,Neuropathy peripheral
"Parkinson's""",Parkinson's disease
NEUROPATHY PERIPHERAL (disability,Disability
"peripheral neuropathy""",Neuropathy peripheral
PAIN IN EXTREMITY,Pain in extremity
"neuropathy peripheral, pain in extremity",Neuropathy peripheral
GAIT INABILITY (disability),Disability
coughing spasms,Cough
palpitations,Palpitations
sore,Abdominal tenderness
a headache,Headache
stroke,Cerebellar stroke
abnormal,Abnormal behaviour
electrolyte imbalance,Electrolyte imbalance
painful,Pain
PAIN IN EXTREMITY,Pain in extremity
No adverse event,No adverse event
"obesity""",Obesity
"hypertension""",Hypertension
prostate cancer,Prostate cancer
fever,Pyrexia
fatigue,Fatigue
the pain,Pain
cramps,Blepharospasm
sweats,Night sweats
clotting,Coagulation test
Debilitating,Drain placement
aches,Computerised tomogram spine
red blood,CSF red blood cell count positive
another syncope,Syncope
syncope,Syncope
dizziness,Dizziness
a headache,Headache
fatigue,Fatigue
a nagging dry cough,Cough
The cough,Cough
the cough,Cough
No adverse event,No adverse event
ear infections,Ear infection
vertigo,Vertigo
photosensitivity,Photosensitivity reaction
nausea,Nausea
pain,Pain
chills,Chills
palpitations,Palpitations
body rash,Rash
dizziness,Dizziness
Severe headaches,Headache
fever,Pyrexia
fatigue,Fatigue
Scratchy throat,Scratch
congestion,Ear congestion
reaction,Adverse drug reaction
adverse reaction,Adverse reaction
allergic,Allergic reaction to excipient
Fever,Pyrexia
PYREXIA,Pyrexia
COUGH (light cough),Cough
a sinus infection,Infection
Sinusitis,Sinusitis
PYREXIA (Fever) outcome,Pyrexia
a sinus infection),Infection
light cough),Cough
FEELING ABNORMAL,Feeling abnormal
COUGH,Cough
light cough,Cough
SINUSITIS,Sinusitis
ADHD,Attention deficit hyperactivity disorder
chest pain,Chest pain
Preeclampsia,Pre-eclampsia
anxiety,Anxiety
this pregnancy,Pregnancy
her persistent headache,Headache
her headache,Headache
a persistent headache,Headache
singleton pregnancy,Pregnancy
breech presentation,Breech presentation
headache,Headache
RUQ pain,Pain
No adverse event,No adverse event
a left upper extremity brachial plexopathy,Brachial plexopathy
symptoms,Lower urinary tract symptoms
abdominal pain,Abdominal pain
asymptomatic,Asymptomatic COVID-19
Abdominal pain,Abdominal pain
a small asymptomatic pericardial effusion,Effusion
the pericardial effusion,Pericardial effusion
fever,Pyrexia
pulmonary fibrosis,Pulmonary fibrosis
chills,Chills
cough,Cough
any acute illnesses,Illness
the adverse event,Adverse event
rhinorrhea,Rhinorrhoea
productive cough,Productive cough
No adverse event,No adverse event
COVID-19 INFECTION,COVID-19
allergy,Allergy test
spondyloarthropathy (seronegative),Arthropathy
CLINICAL VACCINATION FAILURE,Vaccination failure
covid-19 infection,COVID-19
clinical vaccination failure,Vaccination failure
a rebound Covid infection,Infection
infection,Infection
dehydration,Dehydration
Her dizziness,Dizziness
debilitating dizziness,Dizziness
lightheaded,Pupillary light reflex tests abnormal
assumed dehydration,Dehydration
a 17mm atrial septal defect,Atrial septal defect
the dizziness,Dizziness
symptoms,Lower urinary tract symptoms
dizziness,Dizziness
Lewy body dementia,Dementia
urinary tract infection,Urinary tract infection
weakness,Injection site muscle weakness
chills,Chills
multifocal pneumonia,Pneumonia
decreased mobility,Mobility decreased
COVID-19 virus,COVID-19
failure to thrive,Failure to thrive
Pneumonia,Pneumonia
aching,Computerised tomogram spine
The stomach pains,Pain
an elevated heart rate,Heart rate
stomach pains,Pain
sore,Abdominal tenderness
cardiac arrest,Cardiac arrest
thyroid mass,Thyroid mass
bilateral LE DVTs obesity,Obesity
HTN,Muscle tightness
anoxic brain injury,Brain injury
OSA,Adiposis dolorosa
stridor,Stridor
diabetes,Diabetes mellitus
abnormal stridor sound,Stridor
fatigue,Fatigue
cough,Cough
headache,Headache
abdominal pain,Abdominal pain
burning,Burning mouth syndrome
a hernia,Hernia
lethargy,Lethargy
vomiting,Vomiting
pain in my arm,Pain
anxious,Autonomic nervous system imbalance
diabetes,Diabetes mellitus
dizziness,Dizziness
symptoms,Lower urinary tract symptoms
Type 1 Diabetes,Type 1 diabetes mellitus
a rapid heart rate,Heart rate
MUSCULOSKELETAL DISCOMFORT,Musculoskeletal discomfort
IMMUNISATION REACTION,Immunisation reaction
Musculoskeletal discomfort,Musculoskeletal discomfort
Rash,Rash
lesions,Wound
itching,Muscle twitching
tenderness in arm and armpit area,Tenderness
repeated vomiting,Vomiting
pain,Pain
extreme fatigue,Fatigue
weakness,Injection site muscle weakness
No adverse event,No adverse event
allergies,Allergy test
a headache,Headache
congestion,Ear congestion
a hollow cough,Cough
sneezing,Sneezing
asthma,Asthma
rheumatoid arthritis,Rheumatoid arthritis
pulmonary embolism,Pulmonary embolism
hyperlipidemia,Hyperlipidaemia
tachycardic,Tachycardia
elevated,Atelectasis
right pleural effusion,Pleural effusion
type 2 diabetes,Type 2 diabetes mellitus
hypoxia,Hypoxia
anxiety,Anxiety
mediastinal and hilar lymphadenopathy,Lymphadenopathy mediastinal
depression,Depression
hypertension,Hypertension
hypoxic,Hypoxic-ischaemic encephalopathy
COVID pneumonia,COVID-19 pneumonia
lupus,Lupus nephritis
really bad anxiety,Anxiety
No adverse event,No adverse event
scratchy throat,Scratch
Allergy,Allergy test
NASOPHARYNGITIS (cold symptoms,Nasopharyngitis
upper respiratory congestion,Upper respiratory tract congestion
Fever,Pyrexia
UPPER RESPIRATORY TRACT CONGESTION,Upper respiratory tract congestion
PYREXIA,Pyrexia
THROAT IRRITATION (Scratchy throat) outcome,Scratch
Upper Respiratory Congestion,Upper respiratory tract congestion
NASOPHARYNGITIS (cold symptoms),Nasopharyngitis
Breast cancer,Breast cancer female
Scratchy throat,Scratch
THROAT IRRITATION,Throat irritation
Upper Respiratory Congestion),Upper respiratory tract congestion
THROAT IRRITATION (Scratchy throat),Scratch
right cervical lymphadenopathy,Lymphadenopathy
Fevers,Pyrexia
lethargy,Lethargy
conjunctival injection,Injection
vomiting,Vomiting
tiredness,Fatigue
fever,Pyrexia
viral infections,Viral infection
thrombus,Intracardiac thrombus
fusiform aneurysmal dilatations of the left main coronary artery,Aneurysm
thrombosis,Thrombosis
conjunctivitis,Conjunctivitis
edema,Oedema
mental status changes,Mental status changes
headaches,Headache
non-erythematous,Erythema
rash,Rash
abdominal pain,Abdominal pain
Right neck lymphadenopathy,Lymphadenopathy
swelling,Swelling
fevers,Pyrexia
syncope,Syncope
cough,Cough
No adverse event,No adverse event
No adverse event,No adverse event
PYREXIA,Pyrexia
the adverse event,Adverse event
gross haematuria,Haematuria
haematuria,Haematuria
pyrexia,Pyrexia
feverish,Febrile convulsion
HAEMATURIA,Haematuria
chromaturia,Chromaturia
Gross haematuria,Haematuria
sepsis,Sepsis
weakness,Injection site muscle weakness
a severe head headache,Headache
headache,Headache
a headache,Headache
lower back pain,Back pain
a mild headache,Headache
aches,Computerised tomogram spine
Injection site,Injection site mass
sore,Abdominal tenderness
Bleeding,Bleeding anovulatory
a developing abscess,Abscess
a large effusion,Effusion
c/o worsening malaise,Malaise
acute hypoxemic respiratory failure,Acute respiratory failure
weakness,Injection site muscle weakness
Death,Death
Toxic metabolic encephalopathy,Metabolic encephalopathy
cough,Cough
unbelievable thirst,Thirst
irritable,Irritable bowel syndrome
Type 1 diabetes,Type 1 diabetes mellitus
weak,Injection site muscle weakness
HA,Aphasia
dry cough,Cough
asymptomatic,Asymptomatic COVID-19
HTN,Muscle tightness
congestion,Ear congestion
Acute kidney injury,Acute kidney injury
DM,Diabetes mellitus
Hyperkalemia,Hyperkalaemia
AKI,Pollakiuria
hyperkalemia,Hyperkalaemia
chest pain,Chest pain
weight gain,Weight
increased fatigue,Fatigue
fatigue,Fatigue
lacy rash,Rash
joint pain,Pain
inflammation,Inflammation
respiratory distress,Respiratory distress
coughing attacks,Cough
discomfort,Discomfort
distress,Acute respiratory distress syndrome
pain,Pain
confusion,Confusional state
c/o pain,Pain
Severe cough,Cough
headache,Headache
fatigue,Fatigue
chest pain,Chest pain
lesions,Wound
full body skin infection,Infection
swelling,Swelling
fevers,Pyrexia
abscesses,Abscess
complete muscle atrophy in right glutes,Atrophy
fever,Pyrexia
chest discomfort,Chest discomfort
Cough,Cough
Arthralgia,Arthralgia
injection site pain,Injection site pain
Myalgia,Myalgia
Fatigue,Fatigue
Symptoms,Lower urinary tract symptoms
Injection site soreness,Injection
nausea,Nausea
extreme fatigue,Fatigue
my nausea,Nausea
dry eye,Dry eye
Gestational diabetes mellitus,Diabetes mellitus
labor,Laboratory test
nauseous,Nausea
migraine,Migraine
pounding migraine,Migraine
abnormal swelling,Swelling
pain,Pain
muscle mass,Muscle mass
Swelling,Swelling
swelling,Swelling
Hives,Urticaria
itching,Muscle twitching
Plaque psoriasis,Psoriasis
OCCASIONALLY LIGHT PSORIASIS FLARES,Psoriasis
IMMUNISATION REACTION,Immunisation reaction
SYMPTOMS,Lower urinary tract symptoms
PSORIASIS,Psoriasis
symptoms,Lower urinary tract symptoms
occasional light psoriasis flare,Psoriasis
No adverse event,No adverse event
headache,Headache
abdominal pain,Abdominal pain
fatigue,Fatigue
coughing,Cough
diarrhea,Diarrhoea
myalgias,Myalgia
symptoms,Lower urinary tract symptoms
fevers,Pyrexia
conjunctivitis,Conjunctivitis
rash,Rash
a pulmonary embolism,Pulmonary embolism
Pericarditis,Pericarditis
this illness,Illness
mild low in vitamin D.,Vitamin D
Myocarditis,Myocarditis
heart palpitations,Palpitations
adverse reaction,Adverse reaction
the Pericarditis,Pericarditis
a disease its Genetic,Tic
the adverse reaction,Adverse reaction
hereditary,Hereditary motor and sensory neuropathy
HA,Aphasia
headache,Headache
fever,Pyrexia
fatigue,Fatigue
Multiple Sclerosis,Multiple sclerosis
Multiple sclerosis,Multiple sclerosis
tiredness,Fatigue
chest pain,Chest pain
CHEILITIS (Sores on lips) outcome,Cheilitis
Lymphocytic lymphoma,Tic
CONTUSION,Contusion
HERPES SIMPLEX (Herpes simplex virus),Herpes simplex
HERPES SIMPLEX VIRUS,Herpes simplex
ECCHYMOSIS (Ecchymosis on extremities,Ecchymosis
HEADACHE,Headache
ECCHYMOSIS ON EXTREMETIES,Ecchymosis
ECCHYMOSIS,Ecchymosis
Herpes simplex virus,Herpes simplex
CHEILITIS (Sores on lips),Cheilitis
Ecchymosis on extremities,Ecchymosis
Headache,Headache
No adverse event,No adverse event
fever,Pyrexia
coughing,Cough
congestion,Ear congestion
sinuses,Fistula
chills,Chills
mouth blisters,Blister
abdominal pain,Abdominal pain
back pain,Back pain
vomiting,Vomiting
acute bronchitis,Bronchitis
Influenza,Influenza
chest pain,Chest pain
cough,Cough
consciousness,Consciousness fluctuating
anxiety,Anxiety
unresponsive,Unresponsive to stimuli
vasovagal syncope,Syncope
the cough,Cough
headaches,Headache
No adverse event,No adverse event
No adverse event,No adverse event
No adverse event,No adverse event
No adverse event,No adverse event
VACCINATION FAILURE,Vaccination failure
arthralgia,Arthralgia
pain in extremity,Pain in extremity
MUSCULOSKELETAL STIFFNESS (non-serious),Musculoskeletal stiffness
mild pain in left elbow,Pain
musculoskeletal stiffness,Musculoskeletal stiffness
Allergy,Allergy test
ARTHRALGIA,Arthralgia
PAIN IN EXTREMITY,Pain in extremity
significant pain,Pain
"significant pain""",Pain
Stiffness,Joint stiffness
LYMPHADENOPATHY,Lymphadenopathy
Loss of consciousness,Loss of consciousness
stroke,Cerebellar stroke
adverse events,Adverse event
the dry cough,Cough
fatigue,Fatigue
soreness at the injection site,Injection
headache,Headache
Unwitnessed seizure,Seizure
Second seizure,Seizure
Febrile,Febrile convulsion
Shingles,Herpes zoster
a rash the right side,Rash
the rash,Rash
swollen,Swollen tongue
drug-induced (Rituximab) pneumonitis,Pneumonitis
organizing pneumonia,Organising pneumonia
fungal infection,Infection
atypical infection,Infection
COVID infection,Infection
Hypoxia,Hypoxia
vasculitis,Vasculitis
coughing spells,Cough
cough,Cough
Severe migraines,Migraine
a growing dermal rash,Rash
chest pain,Chest pain
right side eye pain,Eye pain
vomitting,Vomiting
fever,Pyrexia
delirium,Delirium
SEVERE headache,Headache
confusion,Confusional state
Confusion,Confusional state
severe headache,Headache
a seizure,Seizure
swelling in same lower leg,Swelling
swelling,Swelling
symptoms,Lower urinary tract symptoms
tenderness,Tenderness
Pain,Pain
symptoms,Lower urinary tract symptoms
breathing,Bed rest
a diabetic,Tic
infection,Infection
No adverse event,No adverse event
Diabetes Mellitus Type 2,Diabetes mellitus
"Diabetic retinopathy""",Tic
vaccination site pain,Vaccination site pain
AE,Anaemia
VACCINATION SITE PAIN,Vaccination site pain
LYMPHADENOPATHY,Lymphadenopathy
Psoriatic arthritis,Arthritis
LYMPHADENOPATHY (Lymph nodes in left arm,Lymphadenopathy
No adverse event,No adverse event
fluid,Amniotic fluid volume increased
bronchitis,Bronchitis
sinus congestion,Sinus congestion
ACUTE PERICARDITIS,Pericarditis
abdominal pain,Abdominal pain
hypertension,Hypertension
Breech presentation,Breech presentation
lower right abdominal pain,Abdominal pain lower
vomiting,Vomiting
pressure,Blood pressure abnormal
Hepatitis B.,Hepatitis
mild back and nerve pain,Pain
neuralgia,Neuralgia
back pain,Back pain
BACK PAIN,Back pain
NEURALGIA,Neuralgia
No adverse event,No adverse event
No adverse event,No adverse event
left shoulder pain,Pain
chest palpitations,Palpitations
nausea,Nausea
diarrhea,Diarrhoea
high heart rate,Heart rate
severe left leg pain,Pain
sweats,Night sweats
Fever,Pyrexia
severe migraine,Migraine
Chills,Chills
ARDS,Stress
increasing hypoxia,Hypoxia
"inflammation in my wrist, elbow, shoulder",Inflammation
Symptoms,Lower urinary tract symptoms
elevated troponin,Troponin
fatigue,Fatigue
pulmonary embolism,Pulmonary embolism
congestion,Ear congestion
elevated troponins,Troponin
chronic kidney disease,Chronic kidney disease
COVID,Asymptomatic COVID-19
Acute hypoxic respiratory failure,Acute respiratory failure
cough,Cough
headache,Headache
rash,Rash
fever,Pyrexia
diarrhea,Diarrhoea
conjunctival injection,Injection
vomiting,Vomiting
cough,Cough
acute respiratory failure,Acute respiratory failure
Mixed hyperlipidemia    Diabetes mellitus type 2,Diabetes mellitus
Acquired hypothyroidism,Hypothyroidism
dry cough,Cough
hypoxia,Hypoxia
Hyperlipidemia,Hyperlipidaemia
Acute respiratory failure,Acute respiratory failure
Covid 19 virus,COVID-19
Pneumonia,Pneumonia
